,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
0,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,-34.613055555555555,-58.37722222222222,39905
1,AR: Buenos Aires-Gran Buenos Aires,-34.617777777777775,-58.477222222222224,-34.617777777777775,-58.477222222222224,40972
2,AR: Cordoba-Gran Cordoba,-31.408055555555553,-64.21555555555555,-31.408055555555553,-64.21555555555555,28016
3,AR: Santa Fe-Gran Rosario,-32.975,-60.681666666666665,-32.975,-60.681666666666665,11299
4,AR: Mendoza-Gran Mendoza,-32.888888888888886,-68.84166666666667,-32.888888888888886,-68.84166666666667,7240
5,AR: Tucuman-Gran San Miguel de Tucuman,0.0,0.0,0.0,0.0,149
6,AR: Buenos Aires-La Plata,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,59265
7,AR: Buenos Aires-Mar del Plata,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,59265
8,AR: Salta-Gran Salta,-23.433333333333334,-64.75,-23.433333333333334,-64.75,1791
9,AR: Tucuman-Tucuman,-26.823888888888888,-65.2225,-26.823888888888888,-65.2225,32974
10,AR: Neuquen-Plottier,-38.96666666666667,-68.23333333333333,-38.96666666666667,-68.23333333333333,485
11,AR: Entre Rios-San Antonio de Padua de la Concordia,0.0,0.0,0.0,0.0,149
12,AR: Buenos Aires-Tandil,-37.328611111111115,-59.13666666666666,-37.328611111111115,-59.13666666666666,27346
13,AR: Cordoba-Villa Maria -Villa Nueva,0.0,0.0,0.0,0.0,149
14,AR: Rio Negro-Villa Regina,-39.096111111111114,-67.08361111111111,-39.096111111111114,-67.08361111111111,23543
15,AR: Buenos Aires-Baradero,-33.833333333333336,-59.5,-33.833333333333336,-59.5,1854
16,AR: Buenos Aires-Pinamar,-37.11027777777778,-56.855000000000004,-37.11027777777778,-56.855000000000004,9146
17,AR: Buenos Aires-San Clemente del Tuyu,-36.35416666666667,-56.72555555555556,-36.35416666666667,-56.72555555555556,22365
18,AR: Buenos Aires-Carhue,-37.17944444444444,-62.76,-37.17944444444444,-62.76,1414
19,AR: Rio Negro-Chimpay,-39.165277777777774,-66.1463888888889,-39.165277777777774,-66.1463888888889,10706
20,AR: Santa Fe-Santa Clara de la Buena Vista,-31.76388888888889,-61.319722222222225,-31.76388888888889,-61.319722222222225,8968
21,AR: Chaco-Basail,-27.885277777777777,-59.282222222222224,-27.885277777777777,-59.282222222222224,9641
22,AR: La Pampa-Telen,-36.263888888888886,-65.51027777777777,-36.263888888888886,-65.51027777777777,1519
23,AR: Cordoba-Los Cedros,-31.52611111111111,-64.28444444444445,-31.52611111111111,-64.28444444444445,963
24,BO: Beni-Trinidad,-14.833333333333334,-64.9,-14.833333333333334,-64.9,10493
25,BO: Beni-Riberalta,-11.01,-66.0525,-11.01,-66.0525,4618
26,BO: Cochabamba-Nueva Galilea,0.0,0.0,0.0,0.0,149
27,BO: Chuquisaca-Sucre,-19.033055555555556,-65.2625,-19.033055555555556,-65.2625,6486
28,BO: Chuquisaca-Poroma,-18.861111111111114,-65.35722222222222,-18.861111111111114,-65.35722222222222,3672
29,BO: Chuquisaca-Padcoyo,-20.4,-65.3,-20.4,-65.3,3927
30,BO: Cochabamba-Cochabamba,-17.389444444444443,-66.15666666666667,-17.389444444444443,-66.15666666666667,10487
31,BO: Cochabamba-Sacaba,-17.397777777777776,-66.03805555555556,-17.397777777777776,-66.03805555555556,3504
32,BO: Cochabamba-Quillacollo,-17.392222222222223,-66.27833333333334,-17.392222222222223,-66.27833333333334,3148
33,BO: Cochabamba-Ivirgarzama,-17.050833333333333,-64.86583333333333,-17.050833333333333,-64.86583333333333,1570
34,BO: Cochabamba-Arachaca,0.0,0.0,0.0,0.0,149
35,BO: Cochabamba-Chinchilla,0.0,0.0,0.0,0.0,149
36,BO: Cochabamba-Pocona,-17.65,-65.4,-17.65,-65.4,17361
37,BO: Cochabamba-Tutimayu,0.0,0.0,0.0,0.0,149
38,BO: La Paz-La Paz,-16.5,-68.15,-16.5,-68.15,9409
39,BO: La Paz-El Alto,-16.513333333333332,-68.19222222222223,-16.513333333333332,-68.19222222222223,12858
40,BO: La Paz-Patacamaya,-17.23611111111111,-67.91416666666667,-17.23611111111111,-67.91416666666667,14525
