sat,fel,SNU,avg_d_mbps,edad,remoto,ingresos,estudios,capital
3,9,1,4.8554688,41,1,9,15,0
2,6,1,3.4208984,20,0,2,13,0
4,9,1,1.5732422,25,0,1,8,0
3,11,1,1.5732422,71,0,2,7,0
4,13,1,4.5849609,23,1,6,13,0
4,14,1,4.5849609,55,1,10,15,0
3,9,1,4.5849609,30,1,10,15,0
3,6,1,45.495117,71,1,6,15,0
3,7,1,45.495117,25,1,3,13,0
3,12,0,45.495117,72,0,1,7,0
3,11,1,45.495117,96,1,3,8,0
2,13,1,45.495117,35,1,8,15,0
3,8,1,45.495117,34,1,4,11,0
3,5,1,45.495117,40,0,3,10,0
1,5,1,45.495117,45,0,4,8,0
3,7,1,45.495117,24,0,5,16,0
2,6,1,45.495117,27,1,8,15,0
2,5,1,45.495117,50,0,5,14,0
3,8,1,45.495117,58,1,10,15,0
3,14,1,45.495117,67,0,10,7,0
2,4,1,8.4912109,64,0,2,8,0
2,7,1,8.4912109,22,1,8,13,0
2,12,1,8.4912109,36,0,9,13,0
2,7,1,8.4912109,65,0,10,15,0
4,13,1,8.4912109,67,1,4,8,0
3,7,1,8.4912109,34,0,7,15,0
1,6,1,8.4912109,37,1,2,15,0
4,13,1,8.4912109,36,1,8,15,0
4,9,1,8.4912109,50,1,5,7,0
3,12,1,8.4912109,59,1,9,15,0
3,9,1,8.4912109,41,0,2,13,0
3,14,1,8.4912109,48,1,10,15,0
2,5,1,8.4912109,22,0,1,15,0
2,8,1,8.4912109,21,1,7,13,0
3,6,1,8.4912109,51,0,10,15,0
3,8,1,36.105469,36,0,4,11,0
2,6,1,36.105469,46,1,10,15,0
3,6,1,36.105469,63,1,10,15,0
4,8,1,36.105469,22,0,8,15,0
3,9,1,36.105469,38,1,8,15,0
2,5,1,36.105469,22,1,10,15,0
3,15,1,36.105469,67,0,2,8,0
3,7,1,13.865234,34,0,8,6,0
4,11,1,2.2412109,58,0,10,15,0
2,7,1,71.763672,26,1,3,15,0
3,10,1,13.076172,19,1,4,15,0
