,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
0,AR: Buenos Aires-Presidente Peron,-34.91777777777777,-58.37916666666667,-34.91777777777777,-58.37916666666667,63132
1,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,-34.613055555555555,-58.37722222222222,64781
2,AR: Buenos Aires-Suipacha,-34.75,-59.75,-34.75,-59.75,6697
3,AR: Buenos Aires-Necochea,-38.55444444444444,-58.739444444444445,-38.55444444444444,-58.739444444444445,26575
4,AR: Tucumán-Lules,-26.928611111111113,-65.33833333333332,-26.928611111111113,-65.33833333333332,10044
5,AR: Buenos Aires-Morón,-34.651111111111106,-58.621944444444445,-34.651111111111106,-58.621944444444445,61297
6,AR: Buenos Aires-Gran Buenos Aires,-34.617777777777775,-58.477222222222224,-34.617777777777775,-58.477222222222224,58999
7,AR: Santa Fé-Gran Rosario,-32.975,-60.681666666666665,-32.975,-60.681666666666665,15710
8,AR: Buenos Aires-La Plata,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,48421
9,AR: Buenos Aires-La Matanza,-34.75,-58.583333333333336,-34.75,-58.583333333333336,50069
10,AR: Jujuy-Ledesma-Libertador General San Martín,-23.813055555555557,-64.79333333333334,-23.813055555555557,-64.79333333333334,1638
11,AR: Buenos Aires-General San Martín,-34.573055555555555,-58.54083333333333,-34.573055555555555,-58.54083333333333,61107
12,AR: Buenos Aires-Avellaneda,-34.666666666666664,-58.333333333333336,-34.666666666666664,-58.333333333333336,3847
13,AR: Tierra del Fuego-Río Grande,-53.7875,-67.70972222222223,-53.7875,-67.70972222222223,530
14,AR: Mendoza-Luján de Cuyo,-33.0,-69.33333333333333,-33.0,-69.33333333333333,3827
15,AR: Buenos Aires-Tres de Febrero,-34.599722222222226,-58.56583333333333,-34.599722222222226,-58.56583333333333,128833
16,AR: Córdoba-Colón-Juárez Celman,-31.25777777777778,-64.16611111111112,-31.25777777777778,-64.16611111111112,1370
17,AR: Buenos Aires-Bahía Blanca,-38.7175,-62.265277777777776,-38.7175,-62.265277777777776,57252
18,AR: Buenos Aires-Escobar,-34.333333333333336,-58.75,-34.333333333333336,-58.75,55537
19,AR: Córdoba-Gran Río Cuarto,0.0,0.0,0.0,0.0,343
20,AR: Buenos Aires-San Fernando,-34.445277777777775,-58.54194444444444,-34.445277777777775,-58.54194444444444,42030
21,AR: Buenos Aires-Mar de Plata-General Pueyrredón,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,48421
22,AR: Mendoza-General Alvear,-35.166666666666664,-67.33333333333333,-35.166666666666664,-67.33333333333333,14817
23,AR: Buenos Aires-San Miguel (GBA),0.0,0.0,0.0,0.0,343
24,AR: Buenos Aires-Saavedra,-37.75,-62.5,-37.75,-62.5,1018
25,AR: Río Negro-Bariloche,-41.14555555555555,-71.30805555555555,-41.14555555555555,-71.30805555555555,3148
26,AR: Buenos Aires-Berazategui,-34.765277777777776,-58.21277777777778,-34.765277777777776,-58.21277777777778,83554
27,AR: Santa Fé-General López,-33.745555555555555,-61.968611111111116,-33.745555555555555,-61.968611111111116,24313
28,AR: Buenos Aires-9 de Julio,-35.5,-61.0,-35.5,-61.0,18947
29,AR: Chaco-Mayor Luis J. Fontana,-27.75,-60.666666666666664,-27.75,-60.666666666666664,9274
30,AR: Buenos Aires-Adolfo Alsina,-37.25,-63.0,-37.25,-63.0,9127
31,AR: Buenos Aires-Almirante Brown,-34.833333333333336,-58.333333333333336,-34.833333333333336,-58.333333333333336,81326
32,AR: Buenos Aires-Chascomús,-35.477222222222224,-57.9775,-35.477222222222224,-57.9775,4989
33,No documentado,0.0,0.0,0.0,0.0,343
34,AR: Santa Fé-San Cristóbal,-31.648611111111112,-60.70861111111111,-31.648611111111112,-60.70861111111111,33176
35,AR: Entre Ríos-Gran Paraná,-31.73638888888889,-60.51722222222222,-31.73638888888889,-60.51722222222222,39026
36,AR: Santa Fé-Las Colonias,-31.5,-61.13333333333333,-31.5,-61.13333333333333,38541
37,AR: Buenos Aires-Ituzaingo,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,62271
38,AR: Santa Fé-Castellanos,-31.25027777777778,-61.486666666666665,-31.25027777777778,-61.486666666666665,33360
39,AR: Misiones-General Manuel Belgrano-San Antonio,-26.059722222222224,-53.73555555555556,-26.059722222222224,-53.73555555555556,6074
