,City,Latitude,Longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,AR: Buenos Aires-Presidente Peron,-34.91777777777777,-58.37916666666667,44754,8949,13
1,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,58761,13477,14
2,AR: Buenos Aires-Suipacha,-34.75,-59.75,6418,1665,49
3,AR: Buenos Aires-Necochea,-38.55444444444444,-58.739444444444445,18383,4087,26
4,AR: TucumÃ¡n-Lules,-26.928611111111113,-65.33833333333332,9471,6714,25
5,AR: Buenos Aires-MorÃ³n,-34.65083333333333,-58.61944444444445,52382,14876,11
6,AR: Buenos Aires-Gran Buenos Aires,-34.617777777777775,-58.477222222222224,69324,8119,14
7,AR: Santa FÃ©-Gran Rosario,-32.975,-60.681666666666665,17362,7312,31
8,AR: Buenos Aires-La Plata,-38.000277777777775,-57.55611111111111,59986,22031,16
9,AR: Buenos Aires-La Matanza,-34.75,-58.583333333333336,59373,45000,10
10,AR: Jujuy-Ledesma-Libertador General San MartÃ­n,-23.813055555555557,-64.79333333333334,4366,3446,17
11,AR: Buenos Aires-General San MartÃ­n,-34.573055555555555,-58.54083333333333,54930,8731,13
12,AR: Buenos Aires-Avellaneda,-34.666666666666664,-58.333333333333336,8695,14281,21
13,AR: Tierra del Fuego-RÃ­o Grande,-53.7875,-67.70972222222223,6256,529,31
14,AR: Mendoza-LujÃ¡n de Cuyo,-33.0,-69.33333333333333,1413,1139,157
15,AR: Buenos Aires-Tres de Febrero,-34.599722222222226,-58.56583333333333,48044,9740,13
16,AR: CÃ³rdoba-ColÃ³n-JuÃ¡rez Celman,-31.258055555555554,-64.16611111111112,1593,344,54
17,AR: Buenos Aires-BahÃ­a Blanca,-38.71944444444445,-62.27222222222222,36972,5854,24
18,AR: Buenos Aires-Escobar,-34.333333333333336,-58.75,62238,24529,5
19,AR: CÃ³rdoba-Gran RÃ­o Cuarto,0.0,0.0,29513,31213,23
20,AR: Buenos Aires-San Fernando,-34.45305555555556,-58.58972222222222,17480,16048,12
21,AR: Buenos Aires-Mar de Plata-General PueyrredÃ³n,-38.000277777777775,-57.55611111111111,59986,22031,16
22,AR: Mendoza-General Alvear,-35.166666666666664,-67.33333333333333,3578,2193,125
23,AR: Buenos Aires-San Miguel (GBA),0.0,0.0,29513,31213,23
24,AR: Buenos Aires-Saavedra,-37.75,-62.5,38050,35724,9
25,AR: RÃ­o Negro-Bariloche,-41.14555555555555,-71.30805555555555,8546,4152,66
26,AR: Buenos Aires-Berazategui,-34.765277777777776,-58.21277777777778,62603,8491,11
27,AR: Santa FÃ©-General LÃ³pez,-33.833333333333336,-61.833333333333336,5291,4312,19
28,AR: Buenos Aires-9 de Julio,-35.5,-61.0,1611,680,51
29,AR: Chaco-Mayor Luis J. Fontana,-27.75,-60.666666666666664,5400,762,25
30,AR: Buenos Aires-Adolfo Alsina,-37.25,-63.0,4695,400,21
31,AR: Buenos Aires-Almirante Brown,-34.833333333333336,-58.333333333333336,46587,2727,16
32,AR: Buenos Aires-ChascomÃºs,-35.477222222222224,-57.9775,8292,1950,23
33,No documentado,0.0,0.0,29513,31213,23
34,AR: Santa FÃ©-San CristÃ³bal,-29.873333333333335,-61.92916666666667,6064,636,35
35,AR: Entre RÃ­os-Gran ParanÃ¡,-31.73638888888889,-60.51722222222222,34556,7309,14
36,AR: Santa FÃ©-Las Colonias,-31.5,-61.13333333333333,1806,317,53
37,AR: Buenos Aires-Ituzaingo,-34.66027777777778,-58.66611111111111,58164,22884,10
38,AR: Santa FÃ©-Castellanos,-31.166666666666668,-61.666666666666664,8553,1540,32
39,AR: Misiones-General Manuel Belgrano-San Antonio,-26.059722222222224,-53.73555555555556,4623,4217,18
40,AR: Buenos Aires-General Alvarado,-38.166666666666664,-58.083333333333336,5797,1648,44
41,AR: Buenos Aires-Vicente LÃ³pez,-34.52333333333333,-58.47416666666667,66318,12244,20
